,,,,Overall,,,,,,,PP,,SH,,Defense,
Mark Barberio,COL,D,12,1,0,1,-6,4,11,0,0,0,0,0,13,14
Aleksander Barkov,FLA,C,82,35,61,96,-3,8,206,5,13,18,0,1,28,61
Tyson Barrie,TOR,D,78,14,45,59,-3,36,218,2,2,23,0,0,48,93
Matt Bartkowski,MIN,D,2,1,0,1,2,0,2,0,0,0,0,0,1,1
Mathew Barzal,NYI,C,82,18,44,62,-5,46,179,3,3,15,0,0,25,56
Nathan Bastian,NJ,RW,7,3,0,3,0,10,13,0,0,0,0,0,24,1
Drake Batherson,OTT,RW,20,3,6,9,-2,6,18,2,2,1,0,0,17,21
Gavin Bayreuther,DAL,D,19,2,3,5,2,10,25,0,0,2,0,0,11,19
Jay Beagle,VAN,C,57,3,10,13,-8,18,45,0,0,0,1,0,102,33
Jake Bean,CAR,D,2,0,0,0,0,2,1,0,0,0,0,0,1,0
Nathan Beaulieu,WPG,D,48,3,9,12,6,39,60,0,0,1,0,0,60,42
Anthony Beauvillier,NYI,LW,81,18,10,28,1,8,156,4,1,1,0,0,87,35
Matt Beleskey,NYR,LW,4,1,0,1,1,5,3,0,0,0,0,0,7,1
Pierre-Edouard Bellemare,COL,C,76,6,9,15,2,6,108,0,0,0,2,0,71,51
Louis Belpedio,MIN,D,2,0,0,0,0,0,0,0,0,0,0,0,1,4
Jamie Benn,DAL,C,78,27,26,53,14,56,189,2,8,3,0,0,142,71
Jordie Benn,VAN,D,81,5,17,22,15,39,93,1,0,0,0,0,124,128
Sam Bennett,CGY,LW,71,13,14,27,-6,93,115,2,4,2,0,0,121,27
Matt Benning,EDM,D,70,5,12,17,11,33,94,0,0,1,0,1,109,59
Patrice Bergeron,BOS,C,65,32,47,79,23,30,205,3,9,18,4,3,43,60
Patrik Berglund,FA,C,23,2,2,4,-5,6,25,0,0,0,0,0,25,16
Tyler Bertuzzi,DET,LW,73,21,26,47,11,36,131,4,3,3,0,0,76,39
Alex Biega,VAN,D,41,2,14,16,0,22,91,0,0,1,0,0,101,43
Clark Bishop,CAR,C,20,1,2,3,-3,6,16,0,0,0,0,0,39,5
Anthony Bitetto,WPG,D,36,0,3,3,-7,12,30,0,0,0,0,0,80,36
Anders Bjork,BOS,C,20,1,2,3,-1,2,18,0,0,0,0,0,9,12
Oliver Bjorkstrand,CLS,RW,77,23,13,36,8,8,161,1,3,0,0,0,43,34
Nick Bjugstad,PIT,C,64,14,12,26,6,30,154,2,2,4,0,0,126,27
Colin Blackwell,NSH,C,6,0,0,0,-1,2,5,0,0,0,0,0,10,3
Samuel Blais,STL,LW,32,2,2,4,-1,6,27,0,0,0,0,0,93,12
Joseph Blandisi,PIT,C,9,0,0,0,-1,6,8,0,0,0,0,0,10,1
Anton Blidh,BOS,LW,1,0,0,0,0,0,0,0,0,0,0,0,6,1
Teddy Blueger,PIT,C,28,6,4,10,7,15,33,1,0,0,1,2,52,14
Mikkel Boedker,OTT,LW,71,7,28,35,-23,6,88,1,2,5,0,0,54,28
Brock Boeser,VAN,RW,69,26,30,56,-2,22,209,3,6,9,0,0,14,22
Zach Bogosian,BUF,D,65,3,16,19,-5,52,93,0,0,1,1,0,83,116
Nick Bonino,NSH,C,81,17,18,35,27,18,118,1,3,0,0,1,24,70
Will Borgen,BUF,D,4,0,0,0,-5,0,2,0,0,0,0,0,12,3
Henrik Borgstrom,FLA,C,50,8,10,18,-14,4,54,0,3,4,0,0,11,12
Mark Borowiecki,OTT,D,53,1,4,5,-12,89,59,0,0,0,0,0,212,93
Robert Bortuzzo,STL,D,59,2,8,10,9,47,75,0,0,0,0,1,95,72
Evan Bouchard,EDM,D,7,1,0,1,-5,2,10,0,1,0,0,0,6,8
Reid Boucher,VAN,RW,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Gabriel Bourque,WPG,LW,55,2,6,8,3,10,34,1,0,0,0,1,100,48
Jay Bouwmeester,STL,D,78,3,14,17,-3,40,82,1,0,0,0,0,61,127
Madison Bowey,DET,D,50,2,8,10,-1,46,48,1,0,0,0,0,72,63
Johnny Boychuk,NYI,D,74,3,16,19,10,25,157,1,1,2,0,1,144,120
Travis Boyd,WAS,C,53,5,15,20,6,6,35,1,0,2,0,0,13,21
Brian Boyle,FA,C,73,18,6,24,-14,38,123,4,7,2,1,1,145,50
Tyler Bozak,STL,C,72,13,25,38,-3,20,141,3,2,6,0,0,52,33
Erik Brannstrom,OTT,D,2,0,0,0,0,0,0,0,0,0,0,0,1,1
Derick Brassard,NYI,C,70,14,9,23,-19,39,110,0,2,3,0,0,102,15
Jesper Bratt,NJ,LW,51,8,25,33,-8,6,91,1,1,7,0,0,36,22
Justin Braun,PHI,D,78,2,14,16,-14,35,105,0,0,1,0,0,121,120
Connor Brickley,FA,C,14,1,3,4,3,9,18,0,0,0,0,0,35,6
Daniel Brickley,LA,D,4,0,1,1,-2,0,2,0,0,0,0,0,5,4
Guillaume Brisebois,VAN,D,8,0,0,0,-4,0,5,0,0,0,0,0,3,7
T.J. Brodie,CGY,D,79,9,25,34,29,24,102,1,1,3,1,0,21,86
Jonas Brodin,MIN,D,82,4,14,18,-15,30,111,2,0,1,1,0,61,135
Kyle Brodziak,FA,C,70,6,3,9,-14,33,74,2,0,0,1,0,92,46
Jonny Brodzinski,SJ,RW,13,2,1,3,0,2,17,0,0,0,0,0,23,7
Troy Brouwer,FLA,RW,75,12,9,21,-6,47,86,1,0,0,1,0,177,38
Connor Brown,OTT,RW,82,8,21,29,11,16,85,0,0,1,0,3,35,37
Dustin Brown,LA,RW,72,22,29,51,-17,24,180,3,9,3,1,1,150,29
J.T. Brown,MIN,RW,56,3,5,8,0,29,56,0,0,0,0,0,99,16
Josh Brown,FLA,D,37,1,1,2,-3,28,28,0,0,0,0,0,80,31
Logan Brown,OTT,C,2,0,0,0,-2,0,2,0,0,0,0,0,0,1
Pavel Buchnevich,NYR,LW,64,21,17,38,-10,13,119,1,7,5,0,0,60,20
Michael Bunting,ARI,LW,5,1,0,1,0,2,5,0,0,0,0,0,6,1
Andre Burakovsky,COL,LW,76,12,13,25,2,14,100,4,1,0,0,0,35,29
Erik Burgdoerfer,WAS,D,4,0,0,0,-1,2,2,0,0,0,0,0,16,0
Brent Burns,SJ,D,82,16,67,83,13,34,300,6,7,21,1,4,90,105
Will Butcher,NJ,D,78,4,26,30,-17,18,108,1,1,13,0,0,38,74
Chris Butler,FA,D,13,1,1,2,3,0,10,0,0,0,0,0,17,17
Dustin Byfuglien,WPG,D,42,4,27,31,4,69,115,1,1,15,0,0,77,51
Paul Byron,MON,C,56,15,16,31,16,17,94,3,0,1,2,1,114,36
Drake Caggiula,CHI,LW,55,12,11,23,-5,28,96,2,0,0,1,0,135,26
Ryan Callahan,OTT,RW,52,7,10,17,7,14,76,3,1,0,0,1,89,25
Matt Calvert,COL,LW,82,11,15,26,-10,58,141,0,1,1,0,2,115,51
Kyle Capobianco,ARI,D,2,0,0,0,-2,0,1,0,0,0,0,0,2,2
Paul Carey,BOS,RW,7,0,0,0,0,0,4,0,0,0,0,0,3,3
Brandon Carlo,BOS,D,72,2,8,10,22,47,116,0,0,0,0,2,134,88
John Carlson,WAS,D,80,13,57,70,21,34,185,1,3,30,0,0,54,164
Gabriel Carlsson,CLS,D,1,0,0,0,-1,2,1,0,0,0,0,0,0,0
Ryan Carpenter,CHI,C,68,5,13,18,-6,8,102,0,0,0,1,1,126,17
Daniel Carr,NSH,LW,6,1,0,1,-1,0,11,0,0,0,0,0,9,3
Connor Carrick,NJ,D,34,2,9,11,-13,19,42,1,0,1,0,0,25,37
Sam Carrick,ANH,C,6,0,1,1,-1,2,5,0,0,0,0,0,15,2
Trevor Carrick,SJ,D,1,0,0,0,-1,5,0,0,0,0,0,0,1,1
William Carrier,VGK,LW,54,8,1,9,-4,29,85,1,0,0,0,0,277,13
Jeff Carter,LA,C,76,13,20,33,-20,42,174,1,5,8,1,1,80,30
Colby Cave,EDM,C,53,3,5,8,-5,16,58,1,0,0,0,0,73,18
Cody Ceci,TOR,D,74,7,19,26,-22,18,132,2,0,1,0,0,120,142
Peter Cehlarik,BOS,C,20,4,2,6,3,6,30,1,1,0,0,0,5,7
Erik Cernak,TB,D,58,5,11,16,25,58,107,1,1,0,0,0,198,79
Thomas Chabot,OTT,D,70,14,41,55,-12,32,185,2,1,15,1,0,71,112
Michael Chaput,ARI,C,32,0,5,5,-4,14,31,0,0,0,0,0,53,17
Zdeno Chara,BOS,D,62,5,9,14,22,57,99,2,1,2,0,0,81,88
Rourke Chartier,FA,C,13,1,0,1,-5,2,19,0,0,0,0,0,14,3
Jake Chelios,FA,D,5,0,0,0,0,2,5,0,0,0,0,0,7,5
Ben Chiarot,MON,D,78,5,15,20,6,62,111,1,0,0,0,1,171,139
Alex Chiasson,EDM,RW,73,22,16,38,-1,32,123,1,8,7,1,1,85,31
Filip Chlapik,OTT,C,5,1,0,1,-2,4,9,0,0,0,0,0,1,4
Dennis Cholowski,DET,D,52,7,9,16,-20,16,71,1,4,5,0,0,18,50
Jakob Chychrun,ARI,D,53,5,15,20,-12,28,117,0,3,5,0,0,74,77
Filip Chytil,NYR,C,75,11,12,23,-22,8,133,2,3,4,0,0,29,21
Anthony Cirelli,TB,C,82,19,20,39,25,34,123,5,0,1,5,1,94,49
Casey Cizikas,NYI,C,73,20,13,33,22,36,111,3,0,0,2,1,129,68
Fredrik Claesson,CAR,D,37,2,4,6,3,9,44,0,0,0,0,1,76,33
Adam Clendening,CLS,D,4,0,0,0,1,0,3,0,0,0,0,0,1,3
Kyle Clifford,LA,LW,72,11,10,21,4,96,115,2,1,0,0,0,115,24
Connor Clifton,BOS,D,19,0,1,1,5,15,22,0,0,0,0,0,40,13
Cal Clutterbuck,NYI,RW,73,8,15,23,6,44,95,2,3,0,0,1,209,40
Braydon Coburn,TB,D,74,4,19,23,4,34,113,0,0,0,0,0,96,62
Andrew Cogliano,DAL,LW,78,6,11,17,1,22,106,1,1,0,0,0,68,32
Ian Cole,COL,D,71,2,13,15,-1,115,82,0,0,0,0,0,107,178
Blake Coleman,NJ,C,78,22,14,36,-19,71,213,3,3,0,3,2,225,44
Michael Dal Colle,NYI,LW,28,3,4,7,3,2,34,2,0,0,0,0,10,8
Blake Comeau,DAL,LW,77,7,11,18,-7,42,102,2,0,0,0,0,208,40
J.T. Compher,COL,C,66,16,16,32,-8,31,118,3,4,5,3,0,33,59
Maxime Comtois,ANH,LW,10,2,5,7,3,7,9,1,0,0,0,0,27,3
Cory Conacher,TB,LW,1,0,0,0,0,2,1,0,0,0,0,0,0,0
Erik Condra,COL,RW,6,1,0,1,-2,2,10,0,0,0,0,0,3,1
Kevin Connauton,COL,D,50,1,7,8,-2,22,75,0,0,0,0,2,108,75
Brett Connolly,FLA,RW,81,22,24,46,13,24,139,5,1,1,0,0,53,25
Kyle Connor,WPG,LW,82,34,32,66,-7,18,227,5,11,8,1,0,9,21
Andrew Copp,WPG,C,69,11,14,25,20,6,82,2,0,0,1,0,71,34
Nick Cousins,MON,C,81,7,20,27,-8,35,144,2,1,2,0,0,115,51
Logan Couture,SJ,C,81,27,43,70,-6,22,204,3,6,12,2,0,65,52
Sean Couturier,PHI,C,80,33,43,76,2,34,223,5,8,9,1,0,40,60
Charlie Coyle,BOS,RW,81,12,22,34,-1,20,155,2,1,3,1,0,77,56
Adam Cracknell,FA,C,2,0,0,0,-1,0,3,0,0,0,0,0,6,0
Sidney Crosby,PIT,C,79,35,65,100,18,36,220,3,12,17,0,2,85,43
Lawson Crouse,ARI,LW,81,11,14,25,5,67,131,1,0,0,2,0,288,44
Matt Cullen,FA,C,71,7,13,20,6,14,87,2,0,0,2,2,32,31
Josh Currie,EDM,RW,21,2,3,5,2,2,19,0,0,0,0,0,39,17
Austin Czarnik,CGY,C,54,6,12,18,-1,8,65,3,0,3,0,0,10,24
Evgenii Dadonov,FLA,RW,82,28,42,70,-6,8,195,4,8,9,0,0,33,42
Rasmus Dahlin,BUF,D,82,9,35,44,-13,34,177,4,5,15,0,0,97,66
Carl Dahlstrom,CHI,D,38,0,6,6,9,6,42,0,0,0,0,1,33,35
Trevor Daley,DET,D,44,2,6,8,-3,12,47,1,0,0,1,0,14,53
Zac Dalpe,CLS,C,1,0,1,1,1,0,1,0,0,0,0,0,0,0
Phillip Danault,MON,C,81,12,41,53,17,39,132,1,0,4,0,2,95,60
Marko Dano,CLS,C,8,0,0,0,-1,7,3,0,0,0,0,0,16,3
Laurent Dauphin,NSH,C,1,0,0,0,-1,0,2,0,0,0,0,0,0,1
Brandon Davidson,CGY,D,10,0,1,1,-4,15,7,0,0,0,0,0,17,15
Jean-Sebastien Dea,BUF,C,23,4,2,6,0,8,29,1,0,0,0,0,21,12
Anthony DeAngelo,NYR,D,61,4,26,30,6,77,111,0,0,10,0,0,54,82
Alex DeBrincat,CHI,RW,82,41,35,76,0,15,220,3,13,11,0,0,35,26
Jake DeBrusk,BOS,LW,68,27,15,42,2,18,156,4,8,3,0,0,45,24
Danny DeKeyser,DET,D,52,5,15,20,2,39,59,3,0,0,0,0,79,94
Dylan DeMelo,OTT,D,77,4,18,22,-1,32,109,0,0,3,0,1,121,130
Jason Demers,ARI,D,35,2,6,8,9,12,39,2,0,1,0,0,50,43
Travis Dermott,TOR,D,64,4,13,17,-5,22,98,0,0,0,0,0,100,57
Nicolas Deslauriers,ANH,LW,48,2,3,5,-12,22,48,0,0,0,1,0,135,22
Jason Dickinson,DAL,C,67,6,16,22,9,23,94,2,0,0,0,0,106,50
Brenden Dillon,SJ,D,82,1,21,22,19,61,71,0,0,0,1,0,202,78
Christian Djoos,WAS,D,45,1,9,10,9,4,33,0,0,0,0,0,18,28
Max Domi,MON,C,82,28,44,72,20,80,203,2,4,7,0,0,53,39
Ryan Donato,MIN,C,56,10,15,25,-15,6,139,1,3,5,0,0,24,21
Matt Donovan,NSH,D,2,0,1,1,0,2,1,0,0,0,0,0,0,3
Joonas Donskoi,COL,RW,80,14,23,37,10,10,115,4,1,2,0,0,36,36
Jake Dotchin,STL,D,20,0,1,1,-4,39,7,0,0,0,0,1,54,16
Drew Doughty,LA,D,82,8,37,45,-34,44,154,1,7,17,0,1,168,120
Nic Dowd,WAS,C,64,8,14,22,10,20,47,3,0,0,0,1,97,37
Justin Dowling,DAL,C,11,0,1,1,-4,0,9,0,0,0,0,0,11,7
Leon Draisaitl,EDM,C,82,50,55,105,2,52,231,5,16,13,3,0,57,26
Sheldon Dries,COL,C,40,3,3,6,-7,26,44,0,0,0,1,0,66,20
Jonathan Drouin,MON,C,81,18,35,53,-8,26,190,3,3,13,0,0,55,23
Dillon Dube,CGY,C,25,1,4,5,2,4,22,0,0,0,0,0,11,3
Brandon Dubinsky,CLS,C,61,6,8,14,-16,36,63,0,0,0,0,1,147,28
Pierre-Luc Dubois,CLS,LW,82,27,34,61,16,64,174,5,2,7,0,0,115,52
Matt Duchene,NSH,C,73,31,39,70,-3,8,172,1,6,8,0,0,28,40
Anthony Duclair,OTT,LW,74,19,14,33,-2,14,132,3,7,1,0,0,32,33
Mathew Dumba,MIN,D,32,12,10,22,-5,21,93,1,6,6,0,0,60,43
Brian Dumoulin,PIT,D,76,3,20,23,31,20,99,0,0,0,0,4,141,129
Vince Dunn,STL,D,78,12,23,35,14,45,150,4,3,5,0,0,48,68
Christian Dvorak,ARI,LW,20,2,5,7,-2,2,25,1,1,0,0,0,16,7
Ryan Dzingel,CAR,C,78,26,30,56,-9,29,159,5,5,6,0,0,54,38
Cody Eakin,VGK,C,78,22,19,41,19,16,120,3,1,3,3,0,88,35
Patrick Eaves,ANH,RW,7,0,0,0,-4,4,6,0,0,0,0,0,14,1
Jordan Eberle,NYI,RW,78,19,18,37,-6,17,160,5,7,5,0,0,36,35
Alexander Edler,VAN,D,56,10,24,34,3,54,128,2,4,13,0,1,127,166
Joel Edmundson,STL,D,64,2,9,11,8,68,102,1,0,0,0,0,128,106
Nikolaj Ehlers,WPG,LW,62,21,16,37,2,15,158,4,2,5,0,0,27,16
Christoffer Ehn,DET,C,60,3,6,9,-5,6,49,1,0,0,1,0,70,39
Jack Eichel,BUF,C,77,28,54,82,-11,26,303,2,8,18,0,0,70,51
Joel Eriksson Ek,MIN,C,58,7,7,14,-7,20,111,2,0,0,0,0,117,24
Aaron Ekblad,FLA,D,82,13,24,37,1,47,180,1,5,5,0,0,114,88
Mattias Ekholm,NSH,D,80,8,36,44,27,47,146,3,2,5,0,2,68,107
Oliver Ekman-Larsson,ARI,D,81,14,30,44,-16,52,176,2,5,14,1,2,162,52
Remi Elie,BUF,LW,16,0,1,1,-3,2,9,0,0,0,0,0,30,3
Lars Eller,WAS,C,81,13,23,36,-1,37,163,1,0,3,1,2,69,47
Stefan Elliott,FA,D,3,0,1,1,1,0,3,0,0,0,0,0,2,1
Ryan Ellis,NSH,D,82,7,34,41,21,20,149,2,1,4,1,0,71,154
Deryk Engelland,VGK,D,74,2,10,12,-3,18,105,1,0,0,0,0,165,152
Andreas Englund,OTT,D,3,0,0,0,-2,10,2,0,0,0,0,0,5,2
Tyler Ennis,OTT,LW,51,12,6,18,-6,2,81,1,2,3,0,0,49,14
Jonathan Ericsson,DET,D,52,3,2,5,-10,35,48,1,0,0,0,0,98,56
Loui Eriksson,VAN,RW,81,11,18,29,-11,22,107,2,1,2,0,0,3,28
Adam Erne,DET,LW,65,7,13,20,10,40,70,3,2,0,0,0,159,26
Robby Fabbri,STL,LW,32,2,4,6,-4,6,43,1,0,0,0,0,30,8
Dante Fabbro,NSH,D,4,1,0,1,-1,0,5,0,0,0,0,0,3,6
Radek Faksa,DAL,C,81,15,15,30,-3,54,114,1,1,2,1,1,103,65
Justin Falk,FA,D,10,0,0,0,-4,11,7,0,0,0,0,0,36,9
Oscar Fantenberg,VAN,D,61,2,2,4,3,17,70,0,0,0,0,0,91,74
Jesper Fast,NYR,RW,66,8,12,20,-3,26,80,1,0,0,0,0,120,47
Justin Faulk,CAR,D,82,11,24,35,9,47,217,3,6,4,0,0,156,121
Taylor Fedun,DAL,D,54,4,7,11,2,14,86,0,0,2,0,1,19,58
Eric Fehr,FA,RW,72,7,8,15,-8,30,67,0,0,0,0,1,40,48
Micheal Ferland,VAN,LW,71,17,23,40,13,58,156,3,6,7,0,0,182,19
Kevin Fiala,MIN,LW,83,13,26,39,-23,36,174,2,2,9,0,0,42,20
Valtteri Filppula,DET,C,72,17,14,31,19,16,78,4,0,0,1,0,12,34
Christian Fischer,ARI,RW,71,11,7,18,-13,27,116,0,0,0,0,0,124,19
Haydn Fleury,CAR,D,20,0,1,1,4,2,17,0,0,0,0,0,25,21
Warren Foegele,CAR,LW,77,10,5,15,-17,20,106,3,0,0,0,0,126,19
Steven Fogarty,NYR,C,10,0,0,0,-1,0,9,0,0,0,0,0,6,3
Marcus Foligno,MIN,LW,82,7,12,19,-1,55,91,0,0,1,0,1,206,43
Nick Foligno,CLS,LW,73,17,18,35,12,44,141,2,2,2,0,0,175,51
Christian Folin,MON,D,45,0,6,6,6,27,47,0,0,0,0,0,125,78
Derek Forbort,LA,D,81,2,12,14,-13,52,75,1,0,0,0,0,105,139
Alex Formenton,OTT,LW,9,1,0,1,-2,6,16,0,0,0,0,0,11,7
Jakob Forsbacka-Karlsson,BOS,C,28,3,6,9,1,2,21,0,0,1,0,0,14,9
Filip Forsberg,NSH,RW,64,28,22,50,8,26,217,4,7,3,2,0,100,29
Gustav Forsling,CAR,D,43,3,6,9,-9,30,57,0,0,0,0,0,38,38
Alexandre Fortin,CHI,C,24,3,3,6,-6,2,29,1,0,0,1,0,21,7
Cam Fowler,ANH,D,59,5,18,23,-14,20,88,2,1,5,0,1,32,91
Trent Frederic,BOS,C,15,0,0,0,-4,15,19,0,0,0,0,0,18,3
Mark Friedman,PHI,D,1,0,0,0,-1,0,1,0,0,0,0,0,1,0
Tanner Fritz,NYI,LW,8,0,1,1,-3,2,6,0,0,0,0,0,18,6
Martin Frk,LA,RW,30,1,5,6,-9,4,28,0,1,0,0,0,35,4
Michael Frolik,CGY,LW,65,16,18,34,24,26,132,4,0,0,2,0,57,22
Kurtis Gabriel,PHI,RW,22,2,2,4,0,59,7,1,0,0,0,0,78,8
Sam Gagner,EDM,C,32,6,7,13,-6,14,68,1,1,0,0,0,21,7
Alex Galchenyuk,PIT,RW,72,19,22,41,-19,34,159,4,9,12,0,0,62,34
Brendan Gallagher,MON,RW,82,33,19,52,10,49,302,4,4,3,0,0,126,31
Joseph Gambardella,EDM,C,15,0,3,3,2,2,7,0,0,0,0,0,14,5
Dylan Gambrell,SJ,C,8,0,0,0,1,2,6,0,0,0,0,0,13,1
Jake Gardiner,CAR,D,62,3,27,30,19,26,78,0,0,5,0,0,61,64
Conor Garland,ARI,RW,47,13,5,18,1,12,118,2,4,2,0,0,33,17
Jason Garrison,FA,D,17,1,0,1,1,8,16,0,1,0,0,0,13,23
Adam Gaudette,VAN,C,56,5,7,12,-8,18,55,1,0,2,0,0,48,15
Frederick Gaudreau,NSH,C,55,3,1,4,1,2,43,1,0,0,0,0,25,18
Johnny Gaudreau,CGY,LW,82,36,63,99,18,24,245,8,6,21,0,0,12,12
Brendan Gaunce,BOS,C,3,1,2,3,3,0,2,1,0,0,0,0,4,0
Cameron Gaunce,TB,D,2,0,0,0,3,7,2,0,0,0,0,0,4,1
Frederik Gauthier,TOR,C,70,3,11,14,3,12,46,0,0,0,0,0,98,28
Tim Gettinger,NYR,LW,4,0,0,0,0,0,2,0,0,0,0,0,15,3
Ryan Getzlaf,ANH,C,67,14,34,48,-19,58,133,2,1,10,0,0,150,74
Brian Gibbons,CAR,C,64,8,11,19,-5,20,50,0,0,0,0,0,40,29
Brandon Gignac,NJ,C,1,0,0,0,-2,0,1,0,0,0,0,0,0,1
Dennis Gilbert,CHI,D,1,0,0,0,0,2,0,0,0,0,0,0,6,1
John Gilmour,BUF,D,5,0,0,0,-3,4,9,0,0,0,0,0,3,13
Stephen Gionta,FA,C,5,0,0,0,-4,0,4,0,0,0,0,0,14,2
Mark Giordano,CGY,D,78,17,57,74,39,69,221,2,3,18,4,2,58,144
Samuel Girard,COL,D,82,4,23,27,8,6,116,0,0,9,0,0,65,90
Dan Girardi,FA,D,62,4,12,16,6,12,75,0,0,0,0,1,151,108
Zemgus Girgensons,BUF,C,72,5,13,18,-11,17,78,0,0,0,0,0,144,29
Claude Giroux,PHI,C,82,22,63,85,9,24,229,4,2,21,1,0,28,19
Phil Di Giuseppe,NYR,LW,24,1,3,4,-3,8,31,0,0,0,0,0,54,9
Benjamin Gleason,DAL,D,4,0,1,1,-1,0,2,0,0,0,0,0,2,1
Luke Glendening,DET,RW,78,10,13,23,2,15,102,1,0,0,1,2,198,102
Nikolay Goldobin,VAN,RW,63,7,20,27,-10,18,105,1,1,8,0,1,15,21
Alex Goligoski,ARI,D,76,3,24,27,-7,16,102,0,1,6,0,2,79,154
Cody Goloubef,OTT,D,5,0,0,0,0,2,3,0,0,0,0,0,13,5
Barclay Goodrow,SJ,LW,82,7,10,17,4,76,84,3,0,0,1,0,125,68
Shayne Gostisbehere,PHI,D,78,9,28,37,-20,22,180,2,4,10,0,0,46,102
Tyrell Goulbourne,VGK,LW,2,0,0,0,0,0,3,0,0,0,0,0,6,0
Yanni Gourde,TB,LW,80,22,26,48,9,66,130,5,5,4,1,1,83,30
Michael Grabner,ARI,RW,41,9,7,16,-2,8,65,1,0,0,6,3,28,15
Markus Granlund,EDM,C,77,12,10,22,-4,20,123,1,2,1,0,1,46,24
Mikael Granlund,NSH,C,79,16,38,54,-8,24,189,5,2,18,2,0,46,40
Derek Grant,ANH,C,56,4,10,14,-6,14,74,1,0,0,0,1,92,29
Kevin Gravel,TOR,D,36,0,3,3,-2,4,44,0,0,0,0,0,31,53
Ryan Graves,COL,D,26,3,2,5,4,2,26,0,0,0,0,0,32,51
Anthony Greco,FLA,C,1,0,0,0,-3,0,2,0,0,0,0,0,0,0
Mike Green,DET,D,43,5,21,26,-1,28,92,0,0,3,0,0,60,56
Andy Greene,NJ,D,82,5,20,25,-9,16,104,0,0,2,0,4,67,208
Jordan Greenway,MIN,LW,81,12,12,24,-12,29,109,0,0,0,0,0,57,40
A.J. Greer,COL,LW,15,1,1,2,-2,14,9,0,0,0,0,0,20,5
Rocco Grimaldi,NSH,C,53,5,8,13,-2,10,81,0,0,0,0,0,32,20
Carl Grundstrom,LA,LW,15,5,1,6,-4,6,26,1,0,1,0,0,38,3
Eric Gryba,CGY,D,10,0,0,0,-1,10,11,0,0,0,0,0,21,16
Matt Grzelcyk,BOS,D,66,3,15,18,9,68,90,0,1,5,0,0,46,60
